# 도서산간 우편번호 시드 — 출처: 택배사 공통 기준표(campaignus/imweb 게시본, 2026-07-20 확인)
# 원본 오탈자 보정 2건: '경남 통영 54000'→전북 군산 섬지역, '전남 신안 28826'→58826
# 연륙교 연결 지역은 미포함 — 목록에 없으면 일반 판정 (추가비 과청구 방지 원칙)
# 교차 검증 2026-07-20: 독립 출처(도매꾹 지역표) 표본 12개 중 11개 일치. 차이는 15654(대부도·연륙교)뿐 — 위 원칙과 일치
# 공식 단일 출처 부재 확인 (CJ·우체국 미공개). 택배사 계약 확정 시 해당 사 기준표로 최종 정렬 예정
zip_code,kind,region_name
63000,jeju,제주특별자치도
63001,jeju,제주특별자치도
63002,jeju,제주특별자치도
63003,jeju,제주특별자치도
63004,jeju,제주특별자치도
63005,jeju,제주특별자치도
63006,jeju,제주특별자치도
63007,jeju,제주특별자치도
63008,jeju,제주특별자치도
63009,jeju,제주특별자치도
63010,jeju,제주특별자치도
63011,jeju,제주특별자치도
63012,jeju,제주특별자치도
63013,jeju,제주특별자치도
63014,jeju,제주특별자치도
63015,jeju,제주특별자치도
63016,jeju,제주특별자치도
63017,jeju,제주특별자치도
63018,jeju,제주특별자치도
63019,jeju,제주특별자치도
63020,jeju,제주특별자치도
63021,jeju,제주특별자치도
63022,jeju,제주특별자치도
63023,jeju,제주특별자치도
63024,jeju,제주특별자치도
63025,jeju,제주특별자치도
63026,jeju,제주특별자치도
63027,jeju,제주특별자치도
63028,jeju,제주특별자치도
63029,jeju,제주특별자치도
63030,jeju,제주특별자치도
63031,jeju,제주특별자치도
63032,jeju,제주특별자치도
63033,jeju,제주특별자치도
63034,jeju,제주특별자치도
63035,jeju,제주특별자치도
63036,jeju,제주특별자치도
63037,jeju,제주특별자치도
63038,jeju,제주특별자치도
63039,jeju,제주특별자치도
63040,jeju,제주특별자치도
63041,jeju,제주특별자치도
63042,jeju,제주특별자치도
63043,jeju,제주특별자치도
63044,jeju,제주특별자치도
63045,jeju,제주특별자치도
63046,jeju,제주특별자치도
63047,jeju,제주특별자치도
